epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,48.298,1.03234,0.73965,1.10209,1.25215,0.91567,0.85714,0.90886,0.70459,0.89067,0.80952,0.86199,0.35248,0.83868,0.72823,0.86241,1.06323,0.0011882,0.0011882,0.0011882
43,49.4298,1.09399,0.75256,1.15231,1.2971,0.88539,0.91984,0.91473,0.70467,0.82334,0.7381,0.77568,0.33338,0.85016,0.72528,0.85956,1.06204,0.0011684,0.0011684,0.0011684
44,50.531,1.05949,0.74953,1.04981,1.23056,0.81787,0.92857,0.90608,0.71814,0.85635,0.70982,0.75095,0.29895,0.84973,0.78854,0.85226,1.04957,0.0011486,0.0011486,0.0011486
45,51.6509,1.07451,0.82241,1.07559,1.29568,0.82643,0.92857,0.90561,0.68451,0.88388,0.72509,0.80731,0.30825,0.92008,0.78929,0.88702,1.07688,0.0011288,0.0011288,0.0011288
46,52.824,1.08384,0.80853,1.08743,1.2703,0.86145,0.88835,0.91066,0.68258,0.7229,0.74549,0.72288,0.24386,0.94569,0.79726,0.88212,1.09157,0.001109,0.001109,0.001109
47,53.9997,1.06955,0.76985,1.07324,1.25125,0.90415,0.8985,0.9206,0.70802,0.64138,0.63883,0.59554,0.19442,0.83731,0.81067,0.84237,1.04364,0.0010892,0.0010892,0.0010892
48,55.1677,1.02771,0.76381,1.05149,1.21778,0.94584,0.83169,0.92726,0.71651,0.8424,0.76364,0.8464,0.29597,0.77707,0.77218,0.82028,1.02008,0.0010694,0.0010694,0.0010694
49,56.3091,0.98093,0.6868,1.01849,1.19237,0.94584,0.83169,0.92726,0.71651,0.8424,0.76364,0.8464,0.29597,0.77707,0.77218,0.82028,1.02008,0.0010496,0.0010496,0.0010496
50,57.4737,0.93763,0.64791,0.97394,1.17687,0.90268,0.8834,0.93591,0.73591,0.77565,0.7409,0.79739,0.31644,0.79273,0.74029,0.78486,1.02549,0.0010298,0.0010298,0.0010298
51,58.6522,0.95918,0.73444,1.01191,1.20186,0.97273,0.84933,0.93683,0.74604,0.91749,0.79439,0.86907,0.349,0.8499,0.71965,0.76201,1.05806,0.00101,0.00101,0.00101
52,59.7985,0.94885,0.70981,0.94267,1.1606,0.94681,0.88095,0.94062,0.71131,0.92023,0.85714,0.87476,0.36739,0.91046,0.71093,0.77449,1.0888,0.0009902,0.0009902,0.0009902
53,60.9475,0.99798,0.63909,1.01154,1.21453,0.91644,0.90476,0.94033,0.71403,0.96793,0.83333,0.90763,0.37766,0.87702,0.73206,0.74873,1.07722,0.0009704,0.0009704,0.0009704
54,62.08,0.9764,0.71026,1.03085,1.21228,0.92697,0.90476,0.94162,0.72694,0.87818,0.85714,0.87455,0.32035,0.80951,0.72274,0.72539,1.05261,0.0009506,0.0009506,0.0009506
55,63.182,0.93673,0.6473,0.95447,1.17352,0.92697,0.90476,0.94162,0.72694,0.87818,0.85714,0.87455,0.32035,0.80951,0.72274,0.72539,1.05261,0.0009308,0.0009308,0.0009308
56,64.3085,0.95028,0.66983,1.03834,1.18475,0.92667,0.88095,0.94712,0.73526,0.85007,0.80952,0.832,0.31016,0.82893,0.71021,0.7229,1.04532,0.000911,0.000911,0.000911
57,65.4185,0.99859,0.77432,1.05137,1.22715,0.94806,0.90476,0.92985,0.74331,0.92351,0.86248,0.91382,0.37289,0.80983,0.68852,0.72795,1.03994,0.0008912,0.0008912,0.0008912
58,66.5567,1.01882,0.69704,1.05034,1.23687,0.95086,0.9216,0.94965,0.7557,0.92319,0.85857,0.91508,0.41993,0.7898,0.67902,0.752,1.05176,0.0008714,0.0008714,0.0008714
59,67.685,1.00501,0.77831,1.0443,1.23107,0.94605,0.90476,0.93655,0.71644,0.94612,0.83617,0.90856,0.41253,0.86528,0.68956,0.78339,1.08578,0.0008516,0.0008516,0.0008516
60,68.8041,0.94106,0.66283,0.95702,1.19031,0.91363,0.85714,0.93329,0.71611,0.88825,0.83333,0.92592,0.40023,0.8357,0.66633,0.8116,1.08338,0.0008318,0.0008318,0.0008318
61,69.9146,0.95469,0.69124,1.04395,1.19493,0.85985,0.88095,0.90878,0.70875,0.82917,0.85714,0.874,0.33569,0.76211,0.69083,0.80581,1.03858,0.000812,0.000812,0.000812
62,71.0197,0.9244,0.68473,0.94966,1.17939,0.85985,0.88095,0.90878,0.70875,0.82917,0.85714,0.874,0.33569,0.76211,0.69083,0.80581,1.03858,0.0007922,0.0007922,0.0007922
63,72.1388,0.9252,0.70901,0.96157,1.17981,0.83389,0.83676,0.901,0.70861,0.75307,0.80952,0.80723,0.27975,0.73289,0.70865,0.81192,1.00081,0.0007724,0.0007724,0.0007724
64,73.2539,0.91922,0.65795,0.93049,1.16445,0.89431,0.85714,0.91116,0.72422,0.84184,0.76043,0.78587,0.33726,0.7379,0.66408,0.78672,0.98367,0.0007526,0.0007526,0.0007526
65,74.3647,0.91159,0.63691,0.9253,1.17218,0.84853,0.85714,0.91893,0.74471,0.84853,0.85714,0.91465,0.37437,0.74103,0.65636,0.77507,0.98429,0.0007328,0.0007328,0.0007328
66,75.4539,0.95523,0.68784,0.99602,1.21847,0.90229,0.87952,0.92697,0.74213,0.90229,0.87952,0.92283,0.39702,0.73894,0.64025,0.75495,0.99443,0.000713,0.000713,0.000713
67,76.5482,0.93995,0.68067,1.01199,1.1842,0.92139,0.90476,0.9322,0.72186,0.87245,0.85714,0.89114,0.39585,0.78246,0.63493,0.75842,1.02351,0.0006932,0.0006932,0.0006932
68,77.6229,0.85593,0.6337,0.89567,1.15201,0.92139,0.90476,0.9322,0.72186,0.87245,0.85714,0.89114,0.39585,0.78246,0.63493,0.75842,1.02351,0.0006734,0.0006734,0.0006734
69,78.7129,0.9022,0.63327,0.91898,1.16251,0.90409,0.89784,0.92371,0.71729,0.88017,0.87455,0.91683,0.4234,0.8158,0.64802,0.76383,1.03701,0.0006536,0.0006536,0.0006536
70,79.8061,0.90657,0.58507,0.9157,1.16578,0.88325,0.90476,0.92851,0.71479,0.84182,0.88709,0.91715,0.42675,0.80419,0.65393,0.76806,1.03893,0.0006338,0.0006338,0.0006338
71,80.908,0.89805,0.6092,0.91394,1.1583,0.90112,0.88095,0.92508,0.7192,0.82195,0.87935,0.91426,0.43753,0.78402,0.67156,0.7774,1.03378,0.000614,0.000614,0.000614
72,82.0071,0.89084,0.68379,0.92527,1.16605,0.94837,0.87476,0.93184,0.72742,0.9226,0.85154,0.9333,0.42994,0.78834,0.67528,0.77531,1.02281,0.0005942,0.0005942,0.0005942
73,83.1012,0.8836,0.68974,0.91806,1.16626,0.92326,0.90476,0.93615,0.73304,0.92326,0.90476,0.9271,0.42826,0.80311,0.65811,0.76323,1.02225,0.0005744,0.0005744,0.0005744
74,84.1891,0.91021,0.61753,0.92124,1.17471,0.92326,0.90476,0.93615,0.73304,0.92326,0.90476,0.9271,0.42826,0.80311,0.65811,0.76323,1.02225,0.0005546,0.0005546,0.0005546
75,85.3077,0.9148,0.6942,0.96367,1.17331,0.94985,0.90203,0.93666,0.73754,0.94985,0.90203,0.92682,0.43286,0.80074,0.6401,0.76093,1.03255,0.0005348,0.0005348,0.0005348
76,86.4209,0.90467,0.64012,0.93984,1.19049,0.94821,0.87202,0.93766,0.74618,0.94821,0.87202,0.94906,0.42926,0.76808,0.63181,0.76607,1.02616,0.000515,0.000515,0.000515
77,87.5438,0.92526,0.64117,0.90808,1.15248,0.93459,0.85714,0.9241,0.74869,0.93459,0.85714,0.94204,0.40693,0.7294,0.62443,0.76246,1.00938,0.0004952,0.0004952,0.0004952
